,rating,pros
763,3.0,Fast paced Good for sales staff Benefits Work life balance
764,5.0,"team, benefits, flexible working hours"
765,5.0,"Salesforce truly cares about their employees, creates a culture of diversity, and empowers employees to drive their careers."
766,5.0,Great Work Culture Employee benefits Growth Opportunities
767,4.0,Amazing company to grow and develop Cutting edge cloud technology
768,3.0,"Product is generally great, the company is very organised, good vibe in the office, everybody is very motivated, 7 working days a year for volunteering, frequent parties and celebrations. You are treated like a family member not just an employee, even if this means expectations from you (see Cons)"
769,3.0,Good work culture and interview process.
770,4.0,Great leadership. People first mentality.
771,4.0,"Employee friendly company. Good salary, employee benefits and policies. You get to learn a lot"
772,4.0,"- Collaborative culture - Amazing benefits and office - Loads of space for initiatives - Loads of opportunities for personal and professional development - If you know where to add value, you can create your own job - Great network - Very knowledgable colleagues - Giving back culture! Time off for volunteering"
773,5.0,"The company REALLY cares about the wellbeing of their employees. People feel proud of be part of Salesforce. It is the best company that I ever worked for and despite I have been in the company for a year, I still feel as happy as the very first day."
774,5.0,This is the best work culture you you will ever find in an organisation. Best Work Life Balance
775,5.0,Salesforce Culture Open door policy
776,3.0,very nice company good work life balance
777,4.0,- Great benefits - Encourage Volunteering - Nice people
778,5.0,"- Trust - Extremely transparent to such an extent that I can see the goal settings of each and every employee of Salesforce. Feedbacks are given at the right time and finally, everyone strives to do better for the team rather than the individual. Innovation - Team thinks of at-least 8 years in advance when making the roadmap. Every engineer needs to have a certification in AI/ML by 2019. This is one amazing goal where the company has invested a lot of dollars. Customer intimacy - Never seen such customer stickiness in a long time. Growth is not measured in revenues alone but also in customer satisfaction and it is taken very seriously. Diversity - Absolutely zero politics so far. Engineers are given a fair chance in every respect of their day to day lives. Ethics is highly valued."
779,4.0,Good place to work this competitive market with best in market benifits
780,4.0,Brilliant Place to work and excel
781,4.0,Great company to work for. Bright motivated workforce. Nice fast pace.
782,4.0,"- Great benefits- healthcare, volunteering leave etc, surrounded by smart individuals, ability to lead and own projects"
783,4.0,"Without doubt the majority of the employees at Salesforce are wonderful, combining intellectual rigour with a fierce determination to do the right thing for our customers. The Ohana (broadly interpreted as family) culture is a real living culture, that imbues most people's behaviours. People help each other, and are not focused on trying to get one over on each other. The company is very much in growth mode, which makes for optimism and a sense of purpose."
784,4.0,- Community involvement is high with 7 days (56hours) of VTO during business hours encouraged - Better culture for women than most tech companies - Commitment to equality and doing better (appreciating no one is perfect and entrenched bigotry/sexism/racism takes a long time to overturn) - Chief Equality Officer Tony Prophet - Regular salary comparisons to eliminate inequality in salaries based on gender - Australian private health insurance paid by the company - Flexible working arrangements in some teams so you can work remotely
785,3.0,"The product is awesome and the culture was fun! Good for getting software sales experience and great for your resume when you interview for jobs. Competing with smart people was challenging and kept me on my toes. I enjoyed working there because I never expected to stay past the 2 year mark. I knew what I wanted going in and was happy with what I got out of it. I learned about the software business, people, politics, how to play the game, and big company culture. Best of all I learned about myself and what I liked and didn't like in a future job. It was an overall great experience for me and helped me to land an amazing job after wards."
786,4.0,You guys force people to lie
787,5.0,"Salesforce is a great dynamic with an amazing growth momentum. You can feel it daily with exciting products announcements, sales deals, company acquisitions, etc. Salesforce offers great benefits like healthy snacks and fruits, gym membership, sun glasses, unlimited GP visits, 8 weeks paternity leave, etc. Giving back is a key value of Salesforce and you are encourage to do 56h of volunteering per year during your working hours."
788,3.0,nice people and enviroment startup
789,5.0,"- Competitive Salary and bonus. - Great work/life balance (Outside of sales it seems). - Well defined career paths and promotion criteria. - Unheard of benefits(In Ireland anyway) like 12 weeks fully paid parental leave, discounts for ivf treatments, wellness benefits...it goes on. - Excellent access to training and education funding. - Culture is great, something you can get as involved in as you want. - The Salesforce suite of products is innovative and industry leading so that's reassuring. - Managers at team levels have all been very good at their jobs from what I've seen."
790,5.0,Pay Package and benefits. Best facilities provided by the organisation.
791,1.0,"Salary if you overachieve targets. Pay can be amazing. I was in top 2% achievers, which results in salary of more than 250k."
792,2.0,"Great benefits: health & wellness expenses, volunteer days, free snacks"
793,4.0,Very Proffesional . Clarity on every aspect.
794,5.0,The people are the smartest breed. The sales team is creative and passionate. Overall you'll learn a lot just by spending 2 years here. I spent 6 and it was the best 6 years of my career!
795,5.0,- Benefits - Competitive Salary - Work with VP level execs from junior positions - Commercially focused role - Great team thanks to important focus of cultural fit - Challenging but great for development - Fantastic development and guidance by management - Outlined career development path - Great chances for volunteering
796,1.0,"- Work life balance. - The value of Trust and Security. - Volunteering, 1:1:1 model - Agile - Free Food - Lucky for you if you are part of R&D/Engineering team *not* Infrastructure org"
797,5.0,"The Company Culture and Ohana are truly lived. Everyone is super supportive and helpful, not only in the beginning, but throughout the whole journey. Colleagues take over roles as mentors and are really interested in helping you advancing your career. Of course, it is a fast paced environment which changes quickly and that can be demanding, but it's rewarded greatly and wellness and well-being is a very important component, next to our whole FUN value. But what's important for me is also the whole giving back approach, which is authentically lived and you can ask anyone around the company, everyone will have a cause or organisation that she or he is supporting."
798,5.0,"Employee benefits are like nothing I’ve ever seen and everyone is so on board with the company culture and vision. You also get access to an almost infinite amount of resources/support to succeed - from management teams and specialists, to an open calendar of enablement sessions to sharpen the saw."
799,3.0,"Benefits are very good - health care, discounted stock, great office and stocked kitchens, wellness benefit, recently changed parental leave very generous Pockets of ppl are nice. Depends on which team you're in Volunteer time off is encouraged and even used as a KPI"
800,5.0,Great product and very fulfilling projects with exciting customers and prospects. Leader and aptly riding the wave of enterprise cloud computing which puts you in the frame almost by default at any front office project. Mostly great people with lot of ambition. Company very often looks internally first to promote but does not always back it up with internal training. Lot of front line managers with no people management/coaching training.
801,1.0,"Salary if you overachieve targets. Pay can be amazing. I was in top 2% achievers, which results in salary of more than 250k."
802,3.0,The Salesforce platform is superb and can genuinely change a customer's business for the better. A lot of training for staff members The way the company hires and trains entry-level salespeople is fantastic
803,5.0,Too many pros to list
804,4.0,"Great place to work, amazing people. Everyone genuinely wants what’s best for you. Opportunity to do very well of you overachieve."
805,5.0,"Great culture, fast moving company"
806,4.0,Good work life balance
807,5.0,"- ""Ohana"" family culture is incredible - Fantastic and intelligent people - Care about you and your career"
808,5.0,Will put in the words when I'll join .
809,5.0,- You get to see how an organization can be turned into a family. - You are encouraged to give it back to society by volunteering and Salesforce advocates and gives you that flexibility to do it your way. - Open and transparent culture. - Employee centric (in a true manner).
810,5.0,Fantastic benefits and fantastic people
811,5.0,This company has raised the bar for my expectation on now a company should take care of employees.
812,5.0,"Good culture, comp and work"
813,2.0,Great employee benefits Nice office Known brand Exciting pace Great products
814,5.0,"Career opportunities, Values, Team spirit, Salary, Targets"
815,5.0,Best resources for learning and improving your technical skills. Good management that cares for its employees.
816,4.0,Generally good culture and great benefits.
817,2.0,"* Working with talented people * Great Sales Academy * Some benefits are great * Rewards can be great such as Experience Club * Great stepping stone to join other companies in Dublin such as Google, Facebook or any other tech company."
818,5.0,"Company Values, Amazing Technology, Leader in the Gartner Quadrant for most solutions. Giving back - 1% of Time, 1% of Revenue and 1% of Product."
819,4.0,"Culture is nice, Enablement is cool"
820,4.0,- career progression - training - great suit of solutions
821,5.0,Love the family culture and growth possibilities
822,5.0,Great people and office environment.
823,5.0,Culture / team spirit / career development / personal development / localization / salary / super well structured
824,2.0,"Great company knowledge, stated mission is great. Lots of prestige. San Francisco is awesome."
825,2.0,- Great location from Union Station in Toronto - Snacks in the kitchen
826,1.0,Office location. Trip to San Fransisco for training.
827,5.0,I want to good at sales because I need to work with people and communicate
828,5.0,1. Great Ohana culture 2. Real care to employees 3. Fast response to the trend of cutting edge techs 4. 1:1:1 Model is great 5. Frequent acquisition and quick integration
829,2.0,Excellent benefits which very few companies provides. Senior management is very good and has a very positive vision and concern towards employees working for them and also towards society.
830,5.0,"Work culture, benefits, good management"
831,2.0,"Salesforce Marketing Cloud: good organisation overall, innovative products, great vision; and very professional and friendly colleagues"
832,3.0,"Fantastic company good introduction into the world of SaaS selling. Thier are so many pros working for Salesforce, for example, the offices in Heron Tower are breathtaking - will inspire anyone. The quarterly Town Halls are great to keep everyone geed up and in the know. Great insight into some of the top businesses in the world and you get to speak with and learn from some of the best in the industry."
833,3.0,- Great pay. - Excellent benefits.
834,2.0,"Everything that you read on here: Free snacks, great insurance, great ESPP, paid overtime (which is a must if you want to achieve your OTE), great career opportunities if you survive, etc. You also actually feel like management care for you. I had a huge commission issued where they underpaid me by 75%, and had to fight for it for a few months. Ultimately, upper management came through, which is amazing."
835,5.0,"Salesforce is an amazing company! It has a strong and inclusive culture as well as great people. It offers lots of opportunities for career growth and defining your own path as well as very good salary. Lots of learning opportunities. I joined as an experience architect but without experience of Salesforce. My first 90 Days at the company were an educational ramp program designed to immerse me in all the offerings of Salesforce. Really helped me to get up to speed. And the learning opportunities didn't stop after my 90 Day Ramp, Trailhead is a key part of the Salesforce learning system which is always available."
836,4.0,Truly walk the charity talk; Very positive environment; Great to be a part of a wildly growing firm; Pay well; Customer events are first class; Great tech that never fails; Broad platform for interesting customer use cases.
837,1.0,"Excellent Leadership. Great values, which other companies doesn’t follow Ohana, Trust, VTO, Transparency Awesome benefits"
838,5.0,"-Great innovation, very dynamic -loads of opportunities to learn (education 5K/year), do business travel -great place to thrive if you""re a real driven sales person -Fantastic rewards for hard work- commission, great fun sales competitions -eg. win festival tickets, money, trips, ... -Philanthropy: 7 days of vulunteering per year -Fosters promotion: with 30% growth YoY new positions arise and people are promoted fast -Peak Performer Club: those who achieve 100% of yearly quota qualify to go on 4 day vacation to e.g. Monaco, Rhodes.. -innovation: takes on great ideas from employees"
839,4.0,Excellent pay and great benefits. Salesforce offers an entire range of non-pay related benefits that I have not seen in other companies. Salesforce.org allows you to spend company time for charity and other non-profit related projects. The people are smart and fun to work with. You'll never get bored of your work since the company is developing rapidly and touches so many different business processes. Hence as an employee you can have a direct impact on our customers success.
840,5.0,"This is a company that is driven by the success of their customers. I feel this is certainly replicated through to employees and everything is set up for you to be successful in your career. The commitment to making you the best you can be is phenomenal and the amount resource they provide to make sure you're succeeding is second to none. It is extremely fast paced, what else would you expect from such an innovative company, one of the many reasons I love Salesforce."
841,5.0,- Fantastic perks - Great culture - Excellent level of repsonsibility and exposure
842,1.0,Big name in the industry and you would like to think they are open to hiring skilled people.
843,5.0,Best place to ever worked so far
844,5.0,"- Awesome fast-paced, inclusive and trustful work environment - Manageable working hours (9 to 5:30) - Good salary and benefits - Good opportunities to evolve quickly within the company - Multicultural workforce - Importance of coaching and personal development"
845,5.0,"Good commission structure, extensive list of solutions to sell, market leader, great management, on-going training, incentives/spiffs , they look after their customers."
846,1.0,"Good to put on resume, free snacks, good compensa tion"
847,5.0,"- very dynamic & rapidly growing company - diverse team - in terms of backgrounds, gender and age - Salesforce looks after its employees - trust is the #1 value and people are really empowered - senior leadership encourages a healthy work-life-balance"
848,4.0,Great work-life balance Quarterly morale events Salesforce is a widely used platform. And employees become at least proficient in that. Management is good and takes care of employees very well.
849,5.0,Great Product; Customer-Focussed; Talented colleagues
850,5.0,Ohana Culture is the best way to boost up.
851,5.0,"Great opportunities, culture and people!"
852,5.0,"Excellent support, training, work life balance,IT, facilities, benefits"
853,5.0,"Culture, Life Balance, Innovations"
854,5.0,Great recruitment experience and great salary structure
855,5.0,"Great place to work, highly recommend"
856,5.0,"Strategy, vision, talent management, compensation, growth"
857,1.0,- Great solutions - Good career paths for those who make the numbers in this ever tightening environment - Great benefits and a decent salary package - Attracts good talent and you get to work with cool people
858,3.0,Some great people work here. It´s also great working with innovative technology that is constantly changing. With a bit of luck you can make some money on occasions. Very good benefits.
859,5.0,awesome perks work life balance equal pay policy opportunity to grow learnings
860,5.0,Flexible working/ home working Benefits Workplace
861,5.0,"Amazing and fulfilling job witch I can’t stop thinking about even in time off in a company witch cares about its employees, products and customers. I feel completely intellectually fulfilled, proud of my company and what we provide to our customers. I never filled this way in my previous jobs before and never believed it was even possible. But it is :). The way of management is human, careful and flexible. Great job. Great company. Great atmosphere. Great way of working."
862,2.0,"Great pay, good people. Successful company. Very flexible. Very open culture with great internal communications system. Not averse to conflict, but communication is respectful. Willing to spend money when its needed. Truly agile, releasing every four months. Invest heavily in test automation."
863,1.0,- Nice offices - Competitive pay/benefits - Flexibility - Good Brand from the outside. - leading enterprise products.
864,5.0,"Senior leader in HQ once said, many companies have an onboarding process that likens a rock tumbler. Salesforce's onboarding likens a car wash. Gentle and gets the same result. This has been my experience so far as a new hire. People around are always looking out for you to make sure you can cope. There's a level of trust and faith that you'll ramp up to be productive in the company. I'll list just a few reasons why Salesforce is the number one place to work. Culture- many of us would agree that it's challenging to explain what working in salesforce is like to those who are not inside, simply because it's rare to find a culture as unique as Salesforce'. When you're in the company, you get a sense of positivity day in and day out, everyone wants to get to know you as a person, it's not just work, it's the person behind the work. You will also feel that every single person in the company sincerely wants you to succeed. From the enablement team equipping you with tools and resources to succeed, to Employee Success (more commonly known outside as HR) taking care of your wellbeing, to your sales leaders leading from the front to win with you, the company's values of trust and growth resonates deeply in the employees. Salesforce is particular about who gets hired in the company. It's not so much of your competency (though it's important), as it is of your character and how you work with people. If you like to outsmart others and constantly seek personal glory, you're not going to have a good time. Leadership - I believe a huge part of the success culture in salesforce stems from the leadership team. Of course, salesforce hires great managers who can already lead and motivate team, but there's a proper coaching system which enables each employee to align with the direction of our leaders vision quickly, and also improve performance. Think professional athlete teams. Continuous training and learning - we get a ton of training and resources on industry trends, salesforce products, professional skills like giving effective feedback etc. There's a proper system in place for those who want to develop their competencies or gain more knowledge. Even staff who are here for many years benefit from the training and development programs. The fun 'stuff' - you get wellness reimbursements (some get gym memberships, some get supplements, you can use it for most physical activities). There're also many team activities and celebrations which makes work a whole lot more fun. We also have 7 days volunteering time off where you can do it with the team or on your own. Big shoutout to the team in Singapore for making Salesforce the number one place to work!"
865,5.0,"- supportive, inclusive, knowledgeable and highly talented colleagues - amazing opportunities for growth internally, many available resources and paths to grow your career - excellent compensation, bonuses and benefits - management is stellar; open communication is key and starts from the top down - no shortage of interesting work"
866,2.0,Salary and benefits are competitive. Internal processes are in place and they work fairly well. There are lot of opportunities as the company is still growing. Solid product and great customers.
867,5.0,"> Efficiency A requirement that pushes you to exceed your achievements : the best sales methodology of the market. > Solution A technological offer recognized as the best on the market : this allows AEs (salespeople) to have no doubts about the offer they bring. > Customers The topics covered relate to the global business strategy of the companies : unique opportunity to access to CxO and discover/understand their stakes/challenges. No other SW editor offers this rewarding experience. > Ecosystem Extended teams get strong skills : SE, SA, BDR, RVP, Legal, Pricing, etc. Partners are fully involved on pre-sales and make their max. to deliver the promise"
868,5.0,"You are surrounded by not only top talent, but amazingly fun people that really support one another while. Leadership vision around technology AND equality (egg freezing just launched!) are top notch and there are a ton of perks. Oh ya, and the platform is a leader across the board so you are selling an amazing product and get to help companies remove inefficiency from their businesses."
869,3.0,"great benefits, friendly warm environment(mostly), innovative and fast paced, great career opportunities"
870,3.0,"- 56 hours of volunteering per year - Good salary - Great talents and teams, they hire graduates from the top schools/ universities - Clear and quick progression path - Many benefits (medical insurance, wellness reimbursement, etc.) especially if you're in Sales (+ events, etc.)"
871,4.0,"Challenging, growing, international standards, equity"
872,5.0,"Respect, appreciation and fun in work and commitment to salaries"
873,4.0,Great work culture and learning environment.
874,4.0,"Great products, great vision, growth"
875,4.0,Many options to grow in the company. Great benefits
876,5.0,"7 days of VTO, excellent Renumeration, great benefits"
877,5.0,"They challenge you to work out why you want this job. During interview, there is a lot of soul searching. Salesforce are very clear about their expectations, and they set the bar very high. But of course, the rewards are amazing too. Can you answer the fundamental question of why you want to work in this dynamic environment? This is not just any company; this is the World's most successful, and fastest growing enterprise cloud business. Is this the right fit for you? If yes, then go for it, expect to be tested, and in return the world is your oyster."
878,5.0,"I'm impressed and also gained confidence that it is an environment where I can grow myself through polishing my areas of expertise and strengths, and through new fields and challenges."
879,5.0,"Great company, lots of career progression."
880,5.0,Amazing people who are all incredibly supportive and fun
881,2.0,"Great location, amazing benefits (health, gym, volunteering, shares), great leadership in US, jobs outside of sales seem great, lots of events and you will learn an lot"
882,2.0,"Free food , Cab and perks"
883,5.0,"Amazing culture, opportunities, benefits and salary. Career development second to none. Company Growing rapidly. Staff are looked after and peers genuinely care. Amazing community/charity giving back program - staff actively encourage to volunteer 7 days per year during normal working hours (inc as part of annual Goals). Manager / company very appreciative of goals achieved / job done"
884,4.0,Smart People Good atmosphere Learn a lot Flexible work environment (telecommuting options) Great Technology Lot of Lateral Mobility options within the company if you want to try something new Great Brand name to have on your resume
885,4.0,Great salary and benefits. Great opportunity to work with big name/global clients. Management is flexible with work/life balance. Definitely a place to build the foundation for a solid career within the business or elsewhere. Colleagues are helpful meaning support is available where required.
886,5.0,Lots of growth and learning; incredible CEO and visionary; fun culture; great pay and earning potential
887,4.0,Good work life balance and compensation. Excellent benefits Team bonding and outing Internal geographical movement
888,5.0,"The stuff around putting the customer first is all true. The company gears everything towards making customers successful with the best technology, the best people and the best ideas (because technology is just technology if it is not doing the right thing). The benefits, facilities and opportunities are sector leading"
889,5.0,"This is the best time of my career. Salesforce is an extremely successful company that combines unique values with innovative technology. You can effectively contribute towards making the world a better place while working on a fast-paced tech environment where your company is a leader and an innovator. The Salesforce Ohana culture is unique and an example to companies worldwide. There are many growth opportunities within the company and you feel that you're constantly growing, while being properly supported."
890,5.0,"Benefits, environment, transparant, workplace, products, culture, speed of change, market momentum, great customers, great on your resume."
891,5.0,- Team Spirit - salary and benefits - flexible working style - fun - psychological safety at work to ask any question and say you don't have an answer
892,1.0,"Decent trainings and on-boarding , great food & snacks, positive overall company culture"
893,5.0,"Supportive culture, opportunity to grow, success is rewarded, conscientious leadership"
894,5.0,"- Consistency with all promises before and after being employed - High-value to customer's business & satisfaction without detriment to employees life-quality. - Brilliant educational and well-being (health) benefits - Great chances to learn and grow, with strong network possibilities - Very strong and positive working culture - Homeoffice possibilities and extra parental-leave benefits. Great importance is given to employees family. - Overall, compensation (salary) and benefits well above average."
895,5.0,"Trust in employees, awesome Compensations & Benefits."
896,5.0,"Excellent training, support and leadership."
897,4.0,"Very supportive and caring environment for employees. Excellent people policies and benefits Open and feedback welcoming environment Great opportunities to network, enhance career and learning"
898,5.0,"One can see the best people around, best managers, best colleagues, best recruiters & the 1 who recruited me was very humble & polite."
899,5.0,"Culture, Benefits, Technology, Growing, Responsible"
900,5.0,"Culture, Resource, Trust, Leadership, Rewards"
901,5.0,"Salesforce is a great place to work with a bunch of top notch people and an awesome culture. If you are the kind of person who likes holding yourself against others and being in a healthy competitive environment, this is a good fit. The opportunities to progress are tied to results and management will work to help you find a path if one isn't working for you."
902,5.0,"Great Culture, Flexible Hours, Excellent Benefits and Rewards, Exceptional Talent Pool, Opportunity to grow yourself & Reimbursements for training programs attended by Employees (For employee growth). Also, management is very knowledgable, experienced & encouraging. Exceptional culture in CI India Team. Excellent work & life balance. You get all the freedom and resources to develop skills and show your management skills."
903,5.0,"The UK RVP, Zahid Jiwa hired me into the high performing UK Enterprise Corporate Sales (ECS) business in 2017 and he is an inspirational leader who leads a large team of sales professionals and sales leaders. The leadership team give the ECS team the confidence to thrive under high pressure and they create an inclusive and supportive culture which develops leaders with the team. The coaching provided is world class and the ECS business is recognised for nurturing and developing talent within Salesforce. The management team will always go above and beyond to support their team."
904,2.0,"Nice bunch o people, some of them very smart for support positions. Loads of charity work. Good salary and benefits."
905,5.0,"The culture ( Ohana) in Salesforce is unique. Amazing eco system of giving back The leadership team is very very strong Very strong customer focus You learn a lot and are having fun Plenty of opportunities to advance CEO, Co-Founder and COO makes a fantastic team I feel rejuvenated and much more happy than in my previous jobs"
906,4.0,"- excellent products in the market - Message to the market is very visionary, sometimes to visionary - very transparent, you could easily see your revenue achievement & pipe and also your co-worker's = you can see if territories are unbalanced - OTE salary is good - low level of pressure in sales - Managers OFTEN former salesforce top-sales & really understand how to do business, this doesn't mean they are idiots in people management (of course it depends on the manager)"
907,5.0,"It's a great place to work . Even though it's a big company , it works like a big startup. This means you can effect change if you really want it.great perks and professional development opportunities"
908,3.0,"Better than average salary, great downtown location, lots of intelligent coworkers. Good company to have on your resume."
909,2.0,It is great company to wok with as it provides so many benefits to employee.
910,5.0,"Great earning potential, progression plan and culture"
911,5.0,A lot opportunities to get knowledge in business and technical stuffs.
912,5.0,"Amazing culture, some of the best and brightest people I've ever worked with"
913,2.0,Nothing other than the company name and market value
914,4.0,"Great benefits, plush offices, good culture."
915,5.0,Great Culture and Amazing Environment
916,5.0,"I have been with salesforce for 6 months and it has been a great experience. Structured onboarding process, excellent benefits and respect for work life balance. Everyone's is treated equally and fairly and opinions are respected and listened to."
917,4.0,Great Products. Good Work Culture.
918,5.0,"Innovative Company, Positive Competitive Environment, Employee Development, Earning Potential, Company Culture"
919,5.0,"great benefits, nice canteen, nice management"
920,5.0,Fast and efficient. Made me feel comfortable
921,5.0,Salary Career progression Sales skills to acquire
922,5.0,Best place to work for. Awesome working culture.
923,5.0,"Salesforce Core Values :Trust, Customer Success, Innovation, Equality and Culture: One family , Give back"
924,3.0,Good management system and best salary
925,5.0,"It is the best company to work for, there is nothing else to add."
926,5.0,"Great leadership Management that works to provide as many resources as possible Incredible team of inspiring people who are intelligent, driven, passionate, and happy to help one another"
927,5.0,"Amazing people, flexibility, promotions, growth, perks."
928,1.0,"Free Food, Pick & Drop, Health Insurance, Gym"
929,4.0,"Great culture, great support during onboarding process"
930,1.0,"Pension, medical insurance, the usual on site perks."
931,5.0,Great culture All about the customer Recognise and nurture talent
932,4.0,Because of its a marketing job
933,5.0,1-1-1 model & Ohana Spirit Selling strategy Equality
934,4.0,Certain roles have an excellent salary
935,1.0,"The onboarding process is the best so far I have experienced. Lot's of swag and everyone is getting injected with the Ohana spirit from the beginning. 7 days of volunteer work per year is paid and organized by the company, which makes it very easy to connect with people from other teams as well. Plenty of learning opportunities thanks to their company own Trailhead learning environment, paid certifications that are highly valuable on the market at the moment. Free snacks, fruits and soft drinks."
936,1.0,"Good working environment - collègues, benefits, salary, certifications and lots of trainings"
937,3.0,"Salesforce was a great company when I first joined but has now gotten so large that leadership no longer has time or resources to focus on people. - Offices are very nice, kitchens have snacks and coffee and drinks - Good benefits - Strong product and lots of resources at your disposal when selling"
938,5.0,Best company to work with very flexible timings
939,5.0,"Very good company culture. People go out of way to help. People are open to new thoughts, new ways to do things. Lives up to values. It trickles down from the top. The whole company will go all out and try and deliver what it promises to do."
940,5.0,"- Commitment to customers and their success - Collaborative environment - people really are willing to help - Salesforce Foundation - 1:1:1 model (giving time, equity and product to non-profits) - Fast moving product set with genuine innovation - Rapid growth means things are changing all the time - Good training and support for learning - Customers love the product to an extent I've never experienced elsewhere"
941,5.0,"This review will probably come off biased as I've spent the last 8 years at SF and have grown my career with the company. I also met my wife at SF and we now have a lovely 2 year old daughter so suffice to say the decision to work here has proved a good one personally as well as professionally. I started fresh out of university with no idea what CRM or cloud computing was in a biz dev role, progressed into sales and am now a sales manager. Here are the top reasons I love SF: - upward mobility: the company is growing 30% YoY and with growth comes opportunity. I've held 6 positions in 8 years working here. - people & culture: I'm humbled on a daily basis by the people I work with. SF employees are smart, ambitious, fun and tend to genuinely care about the communities we work in and the world around us. There are exceptions to every rule, of course, but by and large we're a hard-working, fun-loving, high-achieving group that is just as collaborative as we are competitive. - pay: money talks! Compensation and benefits are top notch. For those in sales, the base pay will seem low but in 8 years I've never made less than 30% more than my OTE (base + commission). - trust: the vast majority of the people I've reported to have instilled a lot of trust in me to get my job done without interfering or micro-managing my day-to-day."
942,5.0,"- Flexible workplace with lots of freedom - Multi culture, friendly environment - Good basic perks for all full-time employees - Kitchen stacked with breakfast, snacks and drinks - A good space for fun, creativity and humor - Moving up usually works as planned (most cases)"
943,5.0,"Leadership who empowers you to make decisions, and stand by them thereby promoting individual growth of team members Excellent work/life balance opportunities Excellent benefits, bonuses and employee stock purchase program"
944,5.0,I would sincerely thank to all the trainer . I got opportunity to work on live projects which were very helpful to clear my certification. I got sandbox access also. I spoke to many other institute for sandbox access. they told sandbox is not important. but I realised the importance of sandbox during my interviews.
945,5.0,Well respected brand. Attracts great talent. 1-1-1 model is more than just lip service. Interesting and challenging work. Benefits are some of the best I’ve ever received as an employee.
946,5.0,"Heroku has had its ups and downs over the last few years as it has become more integrated with the larger Salesforce org, but it still feels staffed by the best minds in the business, and I love the product that we make. Salesforce itself has all the pros and cons of a large org, complete with hawaiian culture kool-aid and large-org inertia, but on the whole it feels like Benioff puts his money where his mouth is on societal issues, in a way that few corporate titans do. They're generous when it comes to family and benefits and have a corporate culture of giving. Inside Heroku, we are still a little bit inside our purple-tinted bubble. On balance it feels like the engineers, junior to senior, are a standard deviation or two above the median. The problems we solve are difficult and satisfying. The business is large and the opportunity remains even larger. It feels miraculous that we operate a product at such crazy scale with so few people, and speaks to our expertise in building scalable, automated things."
947,5.0,- Great Colleagues - Inclusive environment - Lots of potential for development/growth - Good pay (You will hit your OTE if you work hard)
948,4.0,"-Scope of career possibilities is amazing -Employee benefits are above and beyond what I had hoped for -Career Development opportunities are regularly offered with open discussions invited. -Social company culture -Pay rates are generally well above the average -Being a cloud company, we have the opportunity to literally work from anywhere in the world! (I know cause I've done it!) -Individual contributions and ideas are invited, shared, discussed and respected. One idea really can bring change with our very democratic process with sharing and collaborating on ideas and concepts."
949,4.0,"Jeff Bezos said: “Your brand is what people say about you when you are not in the room”. I prefer “Your brand is how people take care of it when you are no longer in control”. The way my colleagues talk and care about Salesforce business when Salesforce is not in control is just amazing. To me is the sign of an healthy company culture and vision, very proud to be part of this Ohana (family)."
950,5.0,"I have been a professional for about eight years have held various positions with different employers in different locations - Salesforce is by far the best place to work. The culture is amazing and it is felt on a daily basis. As an employee, I feel valued and trusted; Salesforce invests a lot in its employees and the career opportunities are incredible. I wouldn't want to work anywhere else."
951,5.0,"Salesforce understands that happy employees work better and makes sure you are happy, through good salary, benefits, flexible working, great offices, a diverse employee population, etc..."
952,5.0,"Good stock options provided on joining. ESPP at 15% discount Free food Good perks - gym reimbursement, dental/vision reimbursement Decent base salary"
953,4.0,"Good salary, good team, very exciting product and platform to work with. Company is cutting edge and progressive (in technical terms rather than corporate terms). Possible to advance on merit"
954,5.0,Salesforce has a very clearly articulated value proposition and has some of the best Product Management & Engineering talent in the industry. The company also allows sufficient freedom to explore technologies etc and the 4 month cycle of cloud releases allows for continuous challenges and results. The company has very good employee benefits and values individuals.
955,5.0,"Try being put in a fast paced environment with great co workers, fantastic management and unlimited career growth- That's working for Salesforce.com in the Toronto office. The leadership in this hub truly want to excel the product, growth of the business development team and ensure that we achieve success for our customers."
956,5.0,"At Salesforce you get to work with great people in fast pace, but laid back environment. In R&D we typically have tight deadlines but estimated effort and time required to accomplish and expectations are usually reasonable. Sometimes extra hours are required to meet deadlines, but employees are generally well compensated for it. The benefits are great, and get to work with new technologies."
957,5.0,"Wonderful workplace with engaging, thoughtful and well matched people. Benefits are extraordinary. Pension, stock options, health insurance. Free snacks/drinks and fruit. Wellness benefit which covers gym membership and anything else you can imagine. Real and tangible focus on giving back. Each employee gets 7 days off a year to volunteer with an organisation of their choice."
958,4.0,"Fantastic people and culture, especially at the field and mid-level range. Incredible technology and very smart acquisition strategy. Really, with the exception of maybe Google, this is the only place to be in tech, in terms of making an impact on the way the world does business. Also, the (genuine) philanthropic focus remains strong and helps in fostering a very strong team culture."
959,2.0,"- Great pay - Great benefits - Well known, fast growing company - Supportive management** (contingent on your patch) ** - not all managers are like this from my experience of discussion with others"
960,2.0,Benefits; Enablement; Top Leadership; Products
961,2.0,Work with some great people. Good enablement.
962,5.0,Package is more than industry standards
963,5.0,Outstanding work environment that facilitates your career growth and starting you off down the road for success!
964,5.0,Transparent compensation benefits efficient patient
965,2.0,"Benefits, products and training opportunities."
