,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
65,The possibilities are endless if you understand,using,IT related Service,2022-03-01,4,"Discovery of successful sales routes and projects that lead to lost orders that can be derived from actual data
It can be extracted based on numerical bases. It also leads to the accumulation of customer information.
Handover made easy.",>31-50,"Introduction background: Aggregation of customer information
Problem-solving scene: The contents of meetings with customers, etc. are now recorded as a record without becoming ordinary.",4.0,5.0,5.0,5.0,5.0
66,Share customer management and negotiation status with the team in real time,using,Finance/Insurance,2022-02-21,5,"Although it is a service of a foreign-affiliated company, there is no problem with Japanese display, including visuals, customer management and business negotiation status can be shared with the team in real time anytime, anywhere, realizing work efficiency that leads to time and cost reduction. I can.",501-1000,"As a sales organization with a large number of people, it is very advantageous to be able to constantly update the information management of existing customers, the progress status of prospective customers, list management, etc.",5.0,5.0,3.0,4.0,3.0
67,Flexible reports and dashboards,using,IT related Service,2022-02-18,4,"The UI is easy to understand and you can customize the HOME screen, so you can aggregate the functions you often use. Therefore, I think that accessibility to various functions is highly evaluated. Since it is a sales system, it is used most often to generate reports and dashboards, but if you proceed while looking at the support page, you can create somewhat advanced reports, so it is now a very important tool. However, it is 4 because it is still difficult and there are many functions that are not used.",>201-300,It was introduced with the main purpose of visualizing sales figures and sharing them within the company. It is useful as a reference material for each MTG.,4.0,4.0,4.0,5.0,5.0
68,Feature rich and easy to use,using,IT related Service,2022-02-15,4,"Rich in functions and very easy to use. We use it for project management and contract management. In the future, I would like to connect it to lead management and billing management.",2-10,"I replaced the project management and contract management that I used to do in Excel with Salesforce. Since all the data was stored in a database, it became possible to share and analyze the data, which reduced administrative work and made sales activities smoother.",4.0,4.0,4.0,4.0,5.0
69,Get information at a glance with reports and dashboards,using,IT related Service,2022-02-02,4,"It is possible to easily measure the amount of activity and the progress of projects based on the records of activities, and once you learn how to use it, you can easily extract data.
In addition, since it is linked with various services, there is little loss of manually entering data from other tools.

However, penetration within the company has not progressed, and there are people who use it and people who cannot use it.
I feel that the support there is not enough with only tech touch",>101-200,"In the past, I used to organize the number of meetings each month on a calendar, and manage the content of each meeting individually.
By using this service, we were able to reduce unnecessary man-hours.",5.0,5.0,5.0,5.0,5.0
70,Accuracy of number management and reading of sales will increase,using,IT related Service,2022-01-26,3,"It is a well-known sales support tool. Basically, it makes a great contribution to all sales activities, but I decided that it would not be usable unless it was built with a person in charge or support familiar with SFDC, so I gave it a 3.",>201-300,"By unifying the rules for how to read numbers that were managed by various sales teams in their own circles at SFDC, we were able to measure with the same indicators company-wide.",3.0,5.0,5.0,5.0,5.0
71,It's easy to see what your pipe looks like.,using,IT related Service,2022-01-21,4,"It was so easy to use that even I, who had never used another CRM before, found it easy to use. The best part was that it simply showed me what I had to do each day. Furthermore, looking at the data made it easier to understand future issues.",>31-50,"Before introducing the service, pipes were managed using EXCEL. It was difficult to share pipes with others, and it was a pain to update lead status frequently.",5.0,4.0,4.0,4.0,5.0
72,Overtime has decreased significantly,using,Transportation/Traffic/Logistics/Warehouse system,2022-01-17,5,"It is very easy to use, and it can be used immediately after reading the manual (it became possible to use it without relying on the manual at an early stage). Although I only use the basic functions, I was able to promote a significant reduction in working hours, and the overtime work that I had to do 2-3 times a week for paperwork has almost disappeared.",2-10,"As I mentioned above, I was very grateful that the overtime work that I had been doing on a regular basis was greatly reduced. Since I am a user, I only know about my own department, but I think other departments are the same.",5.0,5.0,5.0,5.0,4.0
73,The best weapon if you can master it,currently not using,IT related Service,2021-12-22,4,"The settings are complicated, but there are many areas that can be customized, and it was able to withstand various usage scenes.
In addition, since the person in charge has a wealth of know-how, we were able to reconstruct the business process while absorbing the know-how.",>31-50,"It was introduced for the purpose of integrated management of business negotiation information.
By integrating business negotiation-related information that had been managed in multiple databases into one, it became possible to analyze it, and the speed and system of identifying issues and formulating measures were improved.",3.0,5.0,5.0,5.0,5.0
74,Sales activities were visualized and shared within the team,using,IT related Service,2021-12-18,4,"・If you thoroughly register information in detail, you will be able to visualize all kinds of data, and sales meetings, daily activity reports, etc. can all be completed using Salesforce alone. It doesn't compare to when I was managing projects in Excel.",>11-30,"・By visualizing sales activities, the sharing of project details was optimized
・ Phase management and task management can now be completed in Salesforce",3.0,4.0,4.0,4.0,4.0
75,Used for sales and marketing,using,IT related Service,2021-12-10,5,"It is useful for sharing sales and marketing management and goal management.
The activities of other departments can also be confirmed in a series, and the ability to cooperate has improved. This is a tool that I will continue to use.",301-500,"At the beginning of the introduction, it was necessary to convert the work according to the tool, and it took time to take root, but after it was established, it was possible to see the whole with the data, which is also useful for improving the work.",4.0,5.0,5.0,4.0,5.0
76,Unification of in-house language is possible,using,Manufacturer/manufacturing system,2021-12-09,5,"If you try to create a mold from scratch using a spreadsheet, it will take a considerable amount of time and money to create an accurate mold, but with this sales force, although there are some points that are difficult to use, it is quickly becoming an in-house mold. .",>31-50,"With the introduction of the service, we have solved the complicated problem of not knowing who has the ball and the high cost of searching each time.",4.0,4.0,4.0,4.0,4.0
78,Ideal for call center performance management,using,IT related Service,2021-12-07,4,"Expert knowledge is required to master it, but I think the greatest advantage is that it has a very high degree of freedom and a high degree of design flexibility in response to requests. On the other hand, there is also the aspect that operation becomes difficult if the DB structure is not thoroughly understood and design documents are not created.",>31-50,"By linking with multiple tools such as MA tools and our own DB, the results of the measures of related organizations can be aggregated in Salesforce, and it has become a foundation for accumulating important data that is second only to our own DB.",3.0,4.0,5.0,4.0,4.0
79,"I can't master the multi-functions, and I need to study",using,Food and Leisure Service,2021-12-06,3,"It's a sales force that can do anything, but I can't use it enough. It's a unique UI and we haven't been able to fully customize it ourselves, and I feel like it's a waste. I can't afford to have a full-time employee, so I'm trying to figure out what to do.",2-10,"As a corporation, I decided to focus on collecting donations, and when I was looking for a good service for managing donations and donors, I came across Salesforce. Thanks to you, we were able to manage the donation without delay, and I am satisfied.",2.0,5.0,5.0,4.0,3.0
80,In-house sales management tools,currently not using,IT related Service,2021-11-24,3,"Works as a sales management tool.
However, it did not lead to long-term use.
Although there are many scenes where you can edit dashboards and be active, the price is high.
The cost is high when the number of members increases and the organization grows.",2-10,"For use as a member, details are unknown.
It was very good to be able to easily grasp sales management and KPI/KGI.",4.0,4.0,4.0,4.0,4.0
81,Easy progress management of sales activities,currently not using,IT related Service,2021-11-24,5,"It has a very easy-to-understand UI design and has a lot of help, so I was able to easily learn how to use it, which immediately led to the efficiency of my work.
Also, because the degree of freedom in customizing the dashboard is high.",>51-100,"Until now, we used Google Spreadsheets to manage the progress of sales, but it was necessary to use functions and macros, and it was difficult to prepare a dashboard. Because it became possible to visualize easily to some extent, and it led to shortening the creation time of the dashboard.",5.0,5.0,5.0,5.0,5.0
82,Fast sharing of follow-up status,using,Consulting Service,2021-11-24,4,"It is very attractive to be able to share the tracking status quickly. You can share customer information registration, received materials, next action, etc. and receive accurate advice.
The difficulty is detailed registration such as schedule registration and accuracy.",>31-50,"Headquarters and base managers can now manage their customers faster. We can also manage KPIs throughout the whole, and visualization is progressing.",3.0,4.0,4.0,4.0,4.0
83,"Sales visualization, productivity improvement",using,Food and Leisure Service,2021-11-24,4,"I was able to visualize the amount of activity and the sales process, which was difficult to see.
In addition, it would be nice to be able to do business without becoming a commoner because past contact history etc. can be saved.
Sales literacy is often low, so it takes time to get people to use it, but once the foundation is established, it becomes a very good tool.",>51-100,"Since our company has a large number of divisions, we were not able to control information such as connections with people who wanted to attack and companies that had failed in the past.
I'm so glad this was resolved",3.0,5.0,4.0,5.0,4.0
84,You can see the sales and profits of each customer and customer representative at a glance,using,Manufacturer/manufacturing system,2021-11-24,4,"It is now possible to see at a glance the sales and profit analysis of customers, which could not be analyzed sufficiently with in-house developed software, and the degree of contribution to sales and profits for each person in charge. The analysis speed is fast, data sharing is easy within the company, and it can be linked with Service force cloud and various accounting software.",501-1000,"It has become possible to manage sales and profits for each customer, which was not possible until now. You can also see at a glance the sales and profit contribution of each salesperson.",2.0,4.0,4.0,4.0,4.0
85,"Because it is major and highly functional, you may get lost",using,IT related Service,2021-11-23,3,"There are many functions that can be used. Before that, understand how to use each object, and what is the best way to store information? etc. may be difficult for a legacy company. If you can understand this, you can operate efficiently with interlocking.",2-10,"We were able to centralize the management of information. Also, the linkage of objects is seamless and easy to see than any SFA. You can easily find out what information is where.",4.0,4.0,4.0,5.0,4.0
86,Cooperating with MA tools to enable centralized customer management,using,IT related Service,2021-11-23,4,"It is used in conjunction with MA tools and other external tools. It is very helpful to be able to centrally manage customer and contract information and visualize it on the dashboard. The help is difficult to read and the detailed specifications are difficult to understand, so I am giving a minus.",>51-100,"Originally, it was not possible to coordinate with MA tools and centralize customer management within the company. By introducing it, we have been able to centrally handle everything from lead acquisition to orders, contract management and CS support, so we can take effective actions.",3.0,5.0,5.0,4.0,3.0
87,Sophisticated sales support tools,using,IT related Service,2021-11-22,4,"Since data can be linked via API, activity information can be visualized with reports and graphs necessary for sales, making it a very convenient tool for sales personnel. The necessary information can be centrally managed, and detailed settings and customization are possible.",>1,"It is now possible to summarize sales history with this one, eliminating the need to access various systems and search for data.",4.0,5.0,4.0,4.0,4.0
88,It is now possible to centrally manage sales progress and customer data,using,Food and Leisure Service,2021-11-20,4,"The UI is also baptized, making it a very easy-to-use sales management tool.
Also, the company I work for is set up so that people in different departments can collaborate.
In addition to your own approach history, you can immediately check the approach status of other departments and visit history, so it is very useful for group-wide proposal activities.",>1000,"Originally, our company was developing different services in multiple departments, but we were able to ""visualize"" by having a single point of contact for the same customer and new approaches from other departments. Information sharing has become closer.",4.0,4.0,3.0,4.0,4.0
89,An easy-to-use customer management tool!,using,Retail/distribution/trading companies,2021-11-15,5,"Salesforce can manage everything on your data. It is very convenient because you can check the data even if the person in charge changes, responding to various situations, not just your own customers. By accumulating customer information, it is possible to accumulate, share, and connect to the customer's requests.",2-10,"When you have a lot of customers, you forget who asked what when and when, but by using sales force, you can share all information and approach customers without omissions. .
Another strength is that various data can be output immediately using reports.",5.0,5.0,4.0,4.0,4.0
90,"Visual management of customer information, which is a company asset",using,Food and Leisure Service,2021-11-05,4,"Prior to the introduction of this product, customer information was collected and managed on a personal basis. I was a little hesitant when I learned that we would be moving from the familiar personal format to a centralized information management tool, but now I am starting to realize that it is possible to openly manage information, which is a company asset, and to quantitatively analyze issues. There are many things that make me glad that I made the move.",301-500,"With the introduction of this product, customer information, which was previously dependent on individual characteristics, is centrally managed, allowing multiple people to access openly managed information, leading to multifaceted problem analysis. As a result, we are now able to conduct in-depth sales to customers who lacked follow-up.",4.0,5.0,4.0,4.0,4.0
91,Sales representatives for door-to-door sales should be introduced,currently not using,Finance/Insurance,2021-11-02,5,"It is now easier to know where to visit. Since we are now able to prioritize visits, sales activities have become more efficient and we have more time to think about proposals. I think that people in charge of sales who have many time constraints should introduce it as soon as possible.",>11-30,The efficiency of door-to-door sales was overwhelmingly improved. We now have more time to prepare proposal materials.,5.0,5.0,5.0,5.0,5.0
92,"It's hard to get used to, but now it's an indispensable tool",using,IT related Service,2021-10-29,4,"Since the introduction, I have also been working as a system administrator, and when I am worried about the setting method, I check the help page, but the content is difficult to understand, which is unique to foreign-affiliated tools, so I deducted points for that part. result.",>11-30,"We have been able to visualize detailed figures that were not visible until now, such as which conversion rate is the bottleneck.",3.0,5.0,5.0,5.0,4.0
93,Project status can be visualized instead of a spreadsheet,using,Consulting Service,2021-10-28,4,We are very grateful to be able to use Salesforce dashboards and reports to visualize things that we had been trying to visualize using spreadsheets.,>11-30,"Things that I used to try to visualize using spreadsheets can now be expressed in Salesforce dashboards and reports, making it very easy to see and make hypotheses based on them.",4.0,4.0,4.0,4.0,4.0
94,user friendly,using,Manufacturer/manufacturing system,2021-10-27,4,"Although it costs a little more, it forms the basis of inquiry management, and we recognize it as a useful tool. Even without a manual, it can be used easily even for the first time, so we recognize that it is very easy, including handover.",>51-100,"Tasks that cross multiple departments and work in parallel without recognizing each other have decreased. In addition, it is helpful that anyone can use it relatively easily.",4.0,4.0,4.0,4.0,4.0
95,Perfect for task management,using,Food and Leisure Service,2021-10-22,4,"There are a lot of functions that can be used, so if you can master this, I think that if you are a normal company organization, you can achieve sufficient work efficiency.
But that is only if you can master it. It's not an intuitive UI, so it takes some getting used to.",>11-30,"A service that always comes to mind when thinking about how to share information within the company. The hurdles are probably high to proceed by yourself, but since the support is solid, it is good to do it with support and two people three legs until you build a foundation in the company. Regarding information sharing, it's useful because it can be used like an internal bulletin board, where you can see it at once.",3.0,4.0,4.0,5.0,5.0
96,Functionality and operation,using,IT related Service,2021-09-29,2,"I used it in my company, but I wasn't able to use it very well and only used it for attendance. There are many companies that often introduce Salesforce, but it is unclear whether customization is necessary or not because they are not administrators",>31-50,"It's unknown because I'm not the manager/payer, but on the user side, I felt that there were many man-hours, including attendance.
I think it was necessary for management as an administrator.",2.0,3.0,2.0,2.0,4.0
97,Synonym of SFA,currently not using,IT related Service,2021-09-26,4,"As a sales management tool, the standard functions are sufficient, and the customization function and the ability to link with various services are very attractive. However, because of the high degree of freedom, if you customize too much, no one will be able to manage it, so be careful.",301-500,"It has become easier to collaborate with departments from marketing to sales and contracts, from leads to contracts.
Also, by linking with Pardot, it is good that information is automatically registered in SalesForce.",4.0,4.0,4.0,4.0,4.0
98,There is no reason not to use Salesforce,using,IT related Service,2021-09-10,5,"The world's No. 1 CRM/SFA, I can't see any reason not to use it.
It can be scaled from a small start, and compared to other cloud services, it has more functions and is highly scalable.
As a point of caution, it is necessary to build based on a solid design as it is multi-functional. For initial introduction, it is better to consult with knowledgeable engineers and consultants.",>31-50,"I couldn't see the activities of the salespeople who were always out of the office, and I couldn't see which companies they visited and what kind of emails they exchanged.
By introducing Sales Cloud, we were able to visualize customers who could not visit by entering sales activities. Also, at the time of retirement, the activity of the predecessor is linked to the customer and displayed, making it easier to continue.",5.0,5.0,5.0,5.0,4.0
99,"Difficult to introduce, but very convenient if you can use it",using,Consulting Service,2021-08-09,3,"Since the introduction cost is quite high and the function is only in a fixed format, the flow from introduction to utilization is quite troublesome. However, it is a very useful service if it can be introduced through trial and error.",2-10,"By introducing the service, it has become possible to manage customer information that was previously managed using Excel and spreadsheets in a simpler manner.",5.0,5.0,5.0,5.0,5.0
100,All-in-one lead management and customer management,using,IT related Service,2021-06-30,4,"In new sales activities, we use it to manage leads and utilize customer assets with which we have exchanged in the past.
It is very helpful to be able to smoothly check the past exchanges and the results of exchanges by other staff members, create a list under the conditions you want to create, and visualize the progress at once.",>31-50,"Customer assets were not being utilized, and lead management had become a common practice.
Approach efficiency has been greatly improved by being able to approach customers by utilizing the customer assets of the entire company.",3.0,4.0,4.0,4.0,4.0
101,"All numbers improved, including lead generation",using,Consulting Service,2021-06-21,5,"Until now, I used a different service for CRM, including customer management and lead acquisition, but since I started using Salesforce, it has had a very positive impact on sales as well as other things. rice field.",2-10,"By introducing the service, we were able to solve the problem of CRM, which was not able to manage customers as a flow from prospective customers to contracts and preventing cancellations.",5.0,5.0,5.0,5.0,5.0
102,An essential tool for customer success,using,IT related Service,2021-05-19,4,"Anyone can start using it without special training. Since there are many SaaS types that are linked, it is an image that you can realize anything you want to do on your own. If you contract with a consultant, you can receive onboarding assistance, and in addition to the standard usage method, you will be accompanied by your company's customization method.",>51-100,"By implementing Salesforce consulting, it is possible to smoothly establish sales policies, train sales members, and introduce sales systems in the launch of SaaS services in line with The Model's business model. I was.",5.0,4.0,3.0,4.0,4.0
104,An essential tool for sales activities,currently not using,IT related Service,2021-05-18,4,Detailed settings and customization are possible according to your company's sales system. It is a very useful tool for sales representatives as it allows them to visualize sales activity information with the necessary reports and graphs.,>51-100,"It is possible to manage all sales activities such as business negotiation history and projects, and to issue reports. It is possible to summarize sales history with this one without using spreads and Excel.",4.0,5.0,5.0,4.0,5.0
105,Importance of introducing all at once over a week,using,Consulting Service,2021-05-18,5,"We were able to fully utilize it not only for lead management as a CRM, but also for customer success to improve customer satisfaction. It is now possible to more efficiently migrate what was previously done with kintone or Excel.",2-10,"By introducing the service, we were able to consolidate the tools that had been used separately until now into one (Sales Force), which not only improved employee efficiency but also increased employee satisfaction.",5.0,5.0,4.0,3.0,5.0
106,Achieve higher-grade results by visualizing sales activities,currently not using,Retail/distribution/trading companies,2021-05-17,4,"You can visualize your sales activities just by customizing the items that match your company in advance and entering the business diary. Since the progress can be confirmed in a graph, anyone can grasp the current situation in an easy-to-understand manner and set action guidelines.",>201-300,"The manager was able to check the business status and project progress in an easy-to-understand manner, and was able to review actions in real time. It was difficult for the manager to grasp the current situation of the team members, so in the end it was managed individually, but it was helpful to be able to check it in the daily business logbook. This resulted in efficient business operations.",4.0,5.0,5.0,5.0,5.0
107,I can do almost anything I want,using,IT related Service,2021-05-16,4,"Highly flexible and feature rich. You can do almost anything you want. If the concept of business negotiation management is easy to understand and the organization can sympathize with THE MODEL, it can be operated immediately. It is wonderful that you can freely customize items, settings, and actions on the management screen without programming. From leads to business negotiations, phase management can be said to be the standard of the sales process. However, it is necessary to be careful that the setting difficulty is high because of the high degree of freedom.",>11-30,"In the sales of our own cloud products, we realized the establishment of the sales process and the management of negotiations. You can visually see how many business negotiations are in which stage, making it easier to predict orders and identify bottlenecks.",4.0,5.0,5.0,5.0,4.0
108,"As the largest CRM/SFA company, the fullness of functions is overwhelming",currently not using,Retail/distribution/trading companies,2021-05-15,4,"It was introduced in the company for a while. In the past, it was only recorded in the business diary on the company intranet, but what Salesforce could do was overwhelmingly more than just a diary, such as progress management, data analysis, and business card management of approach companies.
There were almost no people in the company who could use it, so I was frustrated, but I felt that SFA is a necessary weapon if we want to break away from the individualized sales style.",>1,"When I was using Salesforce, the quality and quantity of data shared by sales was overwhelmingly substantial, and it was an excellent tool that allowed me to analyze the company's SWOT and bottlenecks simply by entering it properly.
Now that there are fewer opportunities to meet face-to-face with key personnel due to the corona crisis, I think SFA's analysis and multi-faceted approach will be an effective means.",4.0,4.0,5.0,4.0,3.0
109,Top tools for customer management,currently not using,IT related Service,2021-05-13,4,"I think that it is a tool that will always come up as an option when searching for it in SFA, etc., and I think that it can be used as it is. It is helpful to be able to research each project as a company, and you can also set your own goals and plan to achieve them.",301-500,"I think it has become easier for managers to grasp the situation of their subordinates. In addition, I was able to use it for his own goal achievement condition and future planning.",4.0,4.0,3.0,5.0,5.0
110,Sales results can now be managed in a list on the dashboard,using,Real Estate/Construction/Equipment,2021-05-11,3,"In order to display the desired information on the dashboard, I feel that it is a system that requires a certain amount of knowledge and skills regarding how to enter and aggregate information, and that maintenance is easy to depend on.",>11-30,"You can now see at a glance the status of business negotiations received from multiple sales members in a timely manner. I feel that it has become very convenient considering that before the introduction, dedicated members had to manually tally.",2.0,4.0,5.0,5.0,5.0
111,There is no better sales support tool,currently not using,IT related Service,2021-05-07,5,"Both the UI/UX were good, as I was able to check the details of my subordinates.
Furthermore, by linking it, you can also get estimates from SF, so it's easy to use.

There are many reasons for the loss of orders.",>31-50,"By knowing the progress, it became possible to see at a glance what the team and subordinates were doing.
Knowing everything about what you were doing today.",3.0,3.0,3.0,3.0,4.0
112,Sophisticated UIUX,using,IT related Service,2021-05-06,5,"It employs a very sophisticated UIUX and has API linkage with other services, forming a wide-ranging ecosystem. By introducing this, there is no doubt that sales efficiency will increase.",>1,"Task management is very easy, and information can be shared with other users quickly, so there is no doubt that it will contribute to improving work efficiency.",4.0,4.0,5.0,4.0,4.0
113,"You can see the business performance at a glance, making it easier to formulate a sales strategy",currently not using,Consulting Service,2021-05-01,5,"Much better than the one I used in the past.
Specifically, I feel that the most attractive feature is that it is easy to see because you can display the data you want to analyze in graphs and tables.",>101-200,"As a user, it was very easy to check the performance progress and manage projects. Also, by segmenting not only your own performance but also the entire organization, what kind of issues are currently occurring in relation to your goals? What metrics do successful people focus on? It was easy to analyze, and it was easy to test hypotheses to improve results.",4.0,5.0,5.0,5.0,4.0
114,Best CRM tool,using,Retail/distribution/trading companies,2021-04-08,5,"An excellent point, a good point is that you can freely change items and settings on the management screen. The point that various data can be visualized in the dashboard. The point that more functions can be used by linking with Marketo.",2-10,"I used to manage customer information using Excel, but I was unable to handle it. After using this tool, management became easier.",5.0,5.0,5.0,5.0,5.0
115,API integration with various services,currently not using,Food and Leisure Service,2021-03-05,5,It is very convenient that you can centrally manage the necessary information on Salesforce because you can link data to Salesforce from various APIs. You can also appreciate the high degree of customizability.,>51-100,"It was necessary to access and operate various systems, but after introducing Salesforce, it became possible to complete operations on Salesforce.",5.0,5.0,5.0,5.0,5.0
116,"If you neglect to invest in custom, you will lose money",using,Food and Leisure Service,2021-03-05,1,"I think it depends on the company's services, costs, and where the customers are. When customizing, it is difficult to operate if the company cannot secure the man-hours of system engineers. Although it is sent to a specialized company outside the company, the cost and operation/maintenance are quite expensive.",>31-50,"Customer management, I came to know the cost per customer, but that's it. It was very easy to use. Depending on your product. I think a company with a costly sales route that sells repeat products is good.",2.0,1.0,2.0,3.0,2.0
117,Tools you need for your business,currently not using,IT related Service,2021-02-19,4,"It's a much-needed tool that allows you to clarify your sales team's goals and keep everyone on the lookout for what's important. You can send emails within the tool, and you can also link with Gmail.",2-10,"Recommended for those who want to make timely proposals that match the customer's management issues. It takes a while to get used to, but once you get used to it, life becomes easier.",3.0,4.0,3.0,4.0,4.0
118,Difficult to master,currently not using,Consulting Service,2021-02-06,3,"I used it because my previous company had introduced it.
・Unified management of information from marketing to sales
- Flexible customization to suit your business style
・You can use it as soon as you create an application
I think is the point of Salesforce Sales Cloud.

・",2-10,"I think it's good that it is possible to check and share customer information, sales information, and employee information necessary for sales, and that it can be linked with other systems.",4.0,4.0,4.0,4.0,4.0
119,Essential tools for sales,using,IT related Service,2021-02-02,4,"It is a very good tool because it is a very necessary function for sales because you can easily organize projects, prospects, progress, etc. However, since there are many complicated functions, I think that it is more convenient for those who can master it.",>31-50,"Since the progress of sales can be seen at a glance, it has become easier to share with the whole. It is very good because it has the functions necessary for sales.",4.0,4.0,4.0,4.0,5.0
120,You can select and use the functions you need,using,IT related Service,2021-01-24,4,"It records the activity of business sales. It has become much smoother for me to manage my own expectations and progress. It is efficient because it is possible to enter information at any time as long as there is an internet environment, so there is no need to put it off.",>1,"While it is difficult to meet face-to-face and do business due to the corona wreck, the only advantage is a tool that allows you to conduct sales activities online.",4.0,4.0,4.0,4.0,4.0
121,"As the functions are quite substantial, the user also needs to be prepared",currently not using,Consulting Service,2021-01-13,3,"Impression that there is no omission in customer management and sales action management.
On the other hand, I feel that there are more than a few cases where the functionality is so substantial that if it is introduced easily, it cannot be put into operation and becomes a waste of money.",>1,"I have experienced that the omission of necessary actions that occurred before the introduction of Salesforce has been reduced by the introduction of Salesforce, as the status of the matter, the person in charge, the next action, etc. are visualized by the entire team.",4.0,5.0,5.0,5.0,4.0
122,A system that can do anything,using,IT related Service,2021-01-08,4,"It is ☆ 5 without complaint about the function.
You can flexibly customize it yourself, and the standard objects are set, which is very convenient.
Even if it is somewhat difficult, it can be solved by investigating it on your own, so you can create something that is incomparable to conventional systems without writing code.
The reason why I gave it 4 stars is because the running cost is not ridiculous. .",501-1000,"The system we developed from scratch required a lot of development budget and time to respond to changes in the business, so it was great that this was cleared up.",5.0,5.0,5.0,5.0,5.0
123,business platform,using,Retail/distribution/trading companies,2021-01-05,5,"Necessary projects, prospective customers, activity history, and inquiry information from existing customers are stored in association with each other, making it possible to easily access the necessary data, making it an indispensable tool for sales.",>1,"Customer management was managed using Excel and spreadsheets, but by introducing Salesforce Sales Cloud, it became possible to centrally manage it.",3.0,3.0,3.0,3.0,3.0
124,"It is true that it is the best CRM in the world, but it is too difficult to use at all",currently not using,Manufacturer/manufacturing system,2020-12-24,3,"Great service for sure. They are astute from sales to follow-up after installation, and their level is unmatched by other companies. The quality of sales is particularly high, and it is worth it just to receive it. But we weren't able to use it.",2-10,"I realized the importance of customer management, and there was value in introducing it just by changing my awareness and behavior. All interviews become semi-permanent company assets.",2.0,3.0,5.0,5.0,5.0
125,The purpose and operation of introduction are important,using,Food and Leisure Service,2020-12-12,3,"Although I feel that if I can make use of this service, it is possible that sales efficiency will increase dramatically, but at the moment my organization has not reached that level, and it is just a tool for accumulating information.",>201-300,"Currently under improvement, the effect is unknown.
It is good to be able to express numerically points such as sales forecasts that have been dependent on the individual until now.",2.0,2.0,2.0,2.0,5.0
126,Flexible customization. A tool you can't stop once you're in,using,IT related Service,2020-12-11,5,"If you are considering CRM, I think you should consider Salesforce first.
It can be used more conveniently by linking and developing with other tools, so it is recommended if you have someone who can master it.",>11-30,"In addition to managing the customer list, the work efficiency has increased overwhelmingly by being able to link notifications when acquiring leads and automate with the process builder.",5.0,5.0,5.0,5.0,5.0
127,Can be used regardless of industry,using,IT related Service,2020-12-09,4,"It seems that there are only merits of introducing it because it has very necessary functions such as customer management, project management, schedule management, progress management of sales activities (including To-do management), and various report creation.",>1,I think it should be introduced because it is a system that enables smooth realization of customer management and sales support through various approaches.,4.0,4.0,4.0,4.0,4.0
128,Clear flow and easier information sharing,using,Consulting Service,2020-12-04,4,"It was very easy to use. The sales flow is easy to understand and the next action is easy to take.
If I dare say it, it takes a relatively long time to master how to use it,
you have to learn by yourself.",301-500,"Easy to take the following actions: In addition, it was possible to display the issues of the members in the team in an easy-to-understand manner. So I knew what to talk about during the meeting.
Easier to share within a team",4.0,4.0,4.0,4.0,4.0
130,See the progress of your business at a glance,using,IT related Service,2020-11-30,5,"Sales index management, which used to be complicated with Excel, etc., can be understood at a glance by using the dashboard.
From marketing to sales, you can see the numbers all the way through, which dramatically reduces the man-hours on the manager's side.",>51-100,"Although it is used across multiple departments, you can see at a glance who took what action and when.
You can also see at a glance who is in the same organization and what kind of relationship they have.
No more halation when dealing with other departments.",3.0,5.0,5.0,4.0,5.0
131,It would be great if you could master the dashboard function!,currently not using,IT related Service,2020-11-30,5,"By making full use of the dashboard, you can grasp the sales progress and the current status of each department at a glance.
Also, you can customize what you want to see, so each person can see what they need.",>51-100,"You can see the sales progress of each salesperson and what you did to which client this month (such as sent an email).
As a result, my boss was able to notice the clients that needed to be dealt with, and was able to know a clearer sales angle.",4.0,4.0,5.0,4.0,4.0
132,Tools that can visualize sales activities,using,Consulting Service,2020-11-29,4,"A system that is easy to understand even for first-time users, and can be mastered with training even by people without IT skills. Sales managers can track numbers and manage customer data, so it is a must-have item for sales.",>1,"Previously, customer data and sales data were managed using spreadsheets, but currently this service is being introduced. Spreadsheets can inevitably lead to heavy data and data loss, but this service ensures thorough management and greatly improves work efficiency.",4.0,4.0,4.0,4.0,5.0
133,Excellent sales management tool,using,IT related Service,2020-11-28,5,"The introduction of Salesforce has greatly improved the efficiency of sales activities.

It will not work well unless the prerequisite system and operation design and the culture formation to increase the degree of execution of utilization are set, but if it is done to the end, it will be very powerful.",>11-30,"With the in-house sales management tool that was used in-house, it was difficult to manage the pipeline of each lead and business deal, and there was a lot of opportunity loss due to a lack of uniformity in terms of information accumulation. Most of the functions can be completed within Salesforce, and pipeline management can be performed while accumulating information in an appropriate form.",5.0,5.0,5.0,5.0,5.0
134,Easy to see account progress,currently not using,IT related Service,2020-11-28,4,"Entering logs and managing tasks was very simple and easy to understand. In addition, I think that it was very easy to see the log because it was possible to see it in a list on one screen.
I also thought that it was a tool that facilitated communication between people in charge very smoothly.",>1000,"With the introduction of the service, the progress of the account sales process became very easy to understand.
Also, task management was very simple and easy to understand, so it became possible to prevent omission of tasks.",4.0,4.0,3.0,3.0,4.0
