,title,author_info,rating,pros,cons,helpful
309,Great culture,,5.0,Great culture and people Great perks Flexibility to move between teams,refreshers are not certain for all teams,Be the first to find this review helpful
310,"This company really does ""do well and do good""",,5.0,Focused on shareholders and all stakeholders. Great culture. Excellent pay and benefits. Research the company and you'll find multiple sources saying how strong the company is. The future is also bright with strong growth prospects.,Not really a con but a watch item is maintaining the great culture while the company continues to grow rapidly.,Be the first to find this review helpful
311,health,,5.0,amazing health care. paid vacation,overtime is needed even on free time.,Be the first to find this review helpful
312,Love it,,5.0,Great company culture! Great place to grow and learn,I do not have any cons,Be the first to find this review helpful
313,Great place to work,,4.0,Work life balance Good leave benefits Lot of training material Leadership is always encouraging,Dallas pay scale is not up to market scale,Be the first to find this review helpful
314,Great work life balance,,3.0,Great work life balance People were really nice to work with Fun team builders,Hard for career growth Favorites continued to get promoted,1 person found this review helpful
315,Amazing,,5.0,It's like an Adult DisneyLand. Everyone is friendly and its one big family. This company takes care of its employees and customers.,Honestly I don't have any cons,Be the first to find this review helpful
316,Good company,,4.0,Get to work with a cool product,Lack of transparency and low pay,Be the first to find this review helpful
317,App Engineering Team,,5.0,- Best managers ever. They will continue to have the best managers if Duncan and Steve (2020-2022) are still there. Great team to get started with. - I worked on one strategic project that was nice. It used Node.js/Express. Kept me busy for 6-7 months. - Later in my time I picked up new technologies (Mulesoft/Slack) and made relationships with SE's. I generated my own strategic projects. - Lots of flexibility. Remote work. Just get your stuff done on time.,"- Need to build relationships to have certain work opportunities. If your a ""I like user stories"" kind of person, this will become a problem after 1 year. On the upside you get to pick what assists you work on. I would often pick up the more interesting coding requests like an Eagle. If you hate flows, you don't need to work on flows if your already busy! I'm not sure anyone was aware of my Eagle strategy until I told them. Watch like a hawk and take what you want. - Too much front-end, not enough back-end. But you could say this for Salesforce tech in general. - To HR management: Leveling system should be fixed by +1.",2 people found this review helpful
318,Employee Friendly,,5.0,Compensation 1 monthly wellness off Transparent Opportunity to learn new technologies,Work pressure More meetings/ long work calls,Be the first to find this review helpful
319,Great place to work,,5.0,It's a good place to work.,Growth opportunities can be limited.,Be the first to find this review helpful
320,Amazing Company,,5.0,"Incredible culture, people, and product",Lower pay on average compared to the industry,Be the first to find this review helpful
321,Great place to work!,,5.0,1. Great work. This is the place if u want to try out new stuffs. 2. Great Benefits. 3. Good people 4. Wellness offs. and many more .,1. Work is fast paced. Initially it will take time to get into that mode.,Be the first to find this review helpful
322,The hype is real!,,5.0,"- Innovative company and culture that is striving to be best-in-class when it comes to driving social impact, emphasizing diversity and inclusion, giving back to the community, sponsoring employee wellness and development, and carrying out sustainability initiatives. Salesforce lives and leads with its values from the top down and encourages transparency and feedback throughout the organization. - For a large enterprise, Salesforce works hard to ensure we are agile and nimble. The company is not afraid to fail fast, pivot strategies, execute on new ideas and proactively lead with a bold vision in the face of a rapidly changing world. The phrase ""Better, better, never best"" is a great way to describe the culture. - Individually in my customer-facing sales role, I enjoy being able to work with so many different types of businesses and executives. It's rewarding to help clients succeed, transform, and adapt their businesses - and it's also a fantastic learning experience for my own development. Because Salesforce has such a huge platform, we are enabled to have conversations with every business department and are empowered to deliver real value. While we are selling a technical product, working at Salesforce allows me to elevate the conversation by leaning on Salesforce's own internal success and leadership to inspire my customers. - There is a sense of pride in working here; there are just so many cool things about this company, it's hard to list them all!","- The job itself is not ""easy."" Because the company is always innovating, always bringing new products and solutions to market, and always striving to stay at the forefront of the most pressing business challenges and trends facing our customers, there's constantly new information we need to learn in order to be trusted advisors to the clients we support. It's a lot to learn and stay enabled on; this is a company that thrives on fast-paced change. - Additionally, because our platform literally does everything, there are a variety of ""point solution"" competitors big and small that we have to constantly stay one step ahead of. Fortunately, Salesforce invests in product specialists, competitive intelligence teams, and other resources to support you. - You can definitely make a lot of money here if you are a top performer. That said, I get the sense that our base salaries are less competitive than comparable software sales roles at other high tech companies. That's a tradeoff to working at the best company though. Once you work here, you can get hired wherever. In fact, many people leave the company in order to get a MUCH more senior role somewhere else, and then leverage that to come back to Salesforce at much higher role and salary band. Staying at Salesforce might mean that your upward mobility is slower.",4 people found this review helpful
323,Treats you well,,4.0,Treats you well and great brand,"A lot of products and sometimes not the right amount of support, lower comp then most other places but make up for it with ESPP and other perks",2 people found this review helpful
324,Great Company High BDR Turnover,,3.0,"Benefits, Commission, Loved going into the office","Some of the metrics are far fetch, its a very sink of swim culture. Moving up in the Sales org is difficult",1 person found this review helpful
325,Experience,,5.0,Love the culture of the company,Still working on DEI work,Be the first to find this review helpful
326,Great place to work!,,5.0,Great benefits Great people Great pay Great culture,"Constantly changing things, hard to keep up sometimes with so much innovation!",Be the first to find this review helpful
327,Good place depending on your territory,"Apr 4, 2022 - Account Executive in Indianapolis, IN",5.0,The 401k and ESPP are good value added benefits. Remote work as well,"Often times it's all about Territory, Timing, Talent",Be the first to find this review helpful
328,Great,"Apr 18, 2022 - Account Exectuve",5.0,Continued Good pay/benefits and etc.,Continued work/life balance and etc.,Be the first to find this review helpful
329,Process,"May 26, 2022 - Recruiter",3.0,"The Culture and Energy are strong, growth is constant and many people have long tenure.",Inclusivity doesn't appear to be a priority.,Be the first to find this review helpful
330,Good job,"May 25, 2022 - Account Executive in Indianapolis, IN",4.0,"Amazing benefits, opportunity for growth and advancement",If you don't drink the koolaid you are definitely looked at as an outsider.,Be the first to find this review helpful
331,Great Benefits + Good Place,"Mar 29, 2022 - Senior Administrative Assistant",5.0,Company cares and is doing their best to be a positive disruptor in the world.,"Very fast paced, you’ll be looked down on if you can’t keep up",Be the first to find this review helpful
332,Salary doesn't match fang but good learning opportunity,"Apr 4, 2022 - Technical Lead",5.0,The benefits are amazing !,Lower pay than FAANG Hard to get to senior positions,Be the first to find this review helpful
333,A Company that Takes Care of its People,"Aug 29, 2021 - Principal Member of Technical Staff",5.0,"In general, the company has great values. It's one that takes care of its people, and gives back to the community. Benefits are generous, including 5 volunteer days included in PTO. When the pandemic hit, Salesforce made sure that its employees were well-outfitted to work from home, and emphasized prioritizing mental health and balancing new work/life struggles. (Note that it wasn't all rosy, Salesforce also chose to do a round of layoffs during the pandemic, even though they were experiencing a record quarter, which caused a lot of controversy.) For as large of a company as Salesforce is, it is reasonably transparent. Employees have access to executive leadership, and have opportunities to ask them tough questions, such as regarding the layoffs they chose to do during the pandemic.","There is a lot of pride in Salesforce's culture, which can often feel a bit cult-like. I joined Salesforce through an acquisition, and the leaders at the acquired company seemed much more used to tough questions than leaders that I observed at Salesforce. There's also a lot of internal training stuff through their internal trailhead platform that seems more time-consuming and less value-packed compared to other companies I've worked at.",1 person found this review helpful
334,Great Place to work,"Mar 18, 2022 - Account Executive",5.0,This is a value based company that reinforces those with compensation and accountability. It's a great place to work with smart people making data-driven decisions that drive the business forward,It is a huge company with many processes in place.,Be the first to find this review helpful
335,Love the perks,"Mar 7, 2022 - Learning And Development Specialist",5.0,Overall relaxed environment. Treated like an adult (just get your work done). PHENOMENAL benefits including paid time for volunteer activities and support from management to be activity involved in ERGs.,"The pace of work. While it's perfectly fine for me, the quick pace and ability to pivot might not be fore everyone.",Be the first to find this review helpful
336,"Good, used to be great.","Dec 30, 2021 - Program Architect in Denver, CO",2.0,"Still a good employer, still pretty good pay, still an open minded place to work.","Wages are stagnant, not keeping pace with inflation-in the United States is 6.8% for the 12 months ended November 2021, meaning with the 4-5% raises we are expecting, we enter 2022 behind. Attrition is becoming a serious issue. Getting VERY big and a series of promotions from without and seemingly disingenuous internal promotion systems (you cannot brag about how many new roles are open when a majority of these new roles are already spoken for by the people in the roles you killed off). This make it the best dead end job you'll ever have. Salesforce has reached that place where leadership thinks only outsiders can help make change vs. looking who they work with and their capabilities. After a decade, if I had a good opportunity come up, I'd leave.",4 people found this review helpful
337,Salary doesn't match fang but good learning opportunity,,5.0,The benefits are amazing !,Lower pay than FAANG Hard to get to senior positions,Be the first to find this review helpful
338,Great company!,,5.0,"Benefits, salary, work environment, room for growth.","Not many cons, but often a lot of work is expected from you, i.e. 50-60 hrs/week.",Be the first to find this review helpful
339,Great Place to Work,,5.0,"The pros of Salesforce are Company Culture, Innovation, and Collaboration.",The con of Salesforce is the compensation is a bit on the lower end.,Be the first to find this review helpful
340,Good place depending on your territory,,5.0,The 401k and ESPP are good value added benefits. Remote work as well,"Often times it's all about Territory, Timing, Talent",Be the first to find this review helpful
341,Sales mgr,,5.0,"Hours, work life balance great job",Nothing at all I love it,Be the first to find this review helpful
342,Not too bad,,3.0,Good culture and also good support from the other teams,Lot of turnovers with account executives,Be the first to find this review helpful
343,Best Job ever,,5.0,"Good compensation,great benifits, big focus on eqaul pay and work life balance",Management can sometimes be slow to address issuea,Be the first to find this review helpful
344,Great corporate job,,5.0,"Very good pay, health insurance + more, generous time off, flex options, fully paid parental and family leave above industry standards","Work culture not always as great as touted, burn out factor depending on the role",Be the first to find this review helpful
345,Productive but stressful culture,,3.0,Pay is higher end of industry,"Culture, politics, lack of equity",3 people found this review helpful
346,Culture,,5.0,"Culture, people and leadership. Their focus on diversity and inclusion is commendable.",Would be nice if they offered paid sabbaticals and no transition benefits for older employees,Be the first to find this review helpful
347,Nice WLB,"May 26, 2022 - Sr Technical Architect in San Francisco, CA",4.0,Great culture and company and have a very inclusive management,Not much growth with acquistions,Be the first to find this review helpful
348,Poor culture,"May 28, 2022 - Anonymous Employee",3.0,Total comp is really competitive.,Really poor tool and culture.,1 person found this review helpful
349,Excellent pay and benefits,"May 23, 2022 - Regional Vice President (RVP) in San Francisco, CA",4.0,Great company culture People and client-first Excellent comp plans for sales Achievable goals,Heavy call volume...back to back most days,Be the first to find this review helpful
350,Good place to work,"May 27, 2022 - Senior Director in Dallas, TX",4.0,Benefits and work from anywhere,Long hours and lots of change,Be the first to find this review helpful
352,Couldn't get any better,"Apr 4, 2022 - Senior Solution Consultant",5.0,Great Benefits Work Life Balance Salary,Sometimes Stressful but no side-eye when you need a break,Be the first to find this review helpful
353,Great Interview Process,"Mar 12, 2022 - Member Of Technical Staff in San Francisco, CA",5.0,Can only comment on interview process and impression of the team. The interview emphasized the individuality of the candidate rather than focusing on standardized methodologies like Leetcode questions.,Cannot comment on this since I haven't been at the company long enough.,Be the first to find this review helpful
354,Employee Friendly,"Apr 7, 2022 - SMTS Software Engineer in Indianapolis, IN",5.0,Compensation 1 monthly wellness off Transparent Opportunity to learn new technologies,Work pressure More meetings/ long work calls,Be the first to find this review helpful
355,Awesome Workplace Environment,"Apr 5, 2022 - Customer Success Manager",5.0,-Great Learning and Development Opportunities,Workload can be overwhelming. But work/life balance is a priority,Be the first to find this review helpful
356,Sales mgr,"Apr 4, 2022 - Sales Manager in Dallas, TX",5.0,"Hours, work life balance great job",Nothing at all I love it,Be the first to find this review helpful
357,Best place to work,,5.0,"Salesforce really is one of the best places to work. The leadership is awesome, the perks are great, pay is great and the culture is truly something that needs to be experienced. Work life balance is highly valued at Salesforce",Can't think of anything yet,Be the first to find this review helpful
358,Great culture. Great future.,,5.0,"Industry leader in CRM, Service and internal/external engagement. SF is a true transformational leader. There are no end of tools and resources to help drive project/opportunity success. My direct manager is very supportive, very patient. Team is right there always willing to help and coach. Unlike anything I've been a part of it. Great experience so far.",Lots to learn. Lots of resources to leverage. Fast-paced. Super-innovative tech.,Be the first to find this review helpful
359,Great Place to Work,,5.0,"Company values, plenty of resources at your disposal and products that work",Large organizations are sometimes hard to deal with,Be the first to find this review helpful
360,Great Benefits + Good Place,,5.0,Company cares and is doing their best to be a positive disruptor in the world.,"Very fast paced, you’ll be looked down on if you can’t keep up",Be the first to find this review helpful
361,I really like it here.,,5.0,"This is my 6 months of employment review. I am surrounded by strong women who are amazing team Leaders and workers. Management is fair and cares a lot. I'm not the best employee. I would consider myself incredibly average. I do feel that this is the first time in my career that my skills are accurately rated. I am given the opportunity to as they say ""level up"" with very detailed one on ones. This model only works for those who want to be better engineers and customer service agents. I never feel as if my caseload is too much. in fact, I have the free time to help my team reach resolutions and educate myself on my product. I really hope to retire here Before this, I owned my own business, and before that, I was a contract IT. I rather eat a whole brick house than work at any other company.","I'm pretty sad only 50,000 people get to have the joy to work here. I am honored to be one of them.",Be the first to find this review helpful
362,Amazing work culture,,5.0,"Great perks, people, culture and opportunities","Big companies processes , politics , new leadership",Be the first to find this review helpful
363,Great place to work,,5.0,Great Work and life balance.,None that I can think of.,Be the first to find this review helpful
364,Great Workplace,,4.0,they have great culture and management,you only get to do a small portion of things,Be the first to find this review helpful
365,Analyst,,4.0,"Great benefits, good work/PTO flexibility and a cutting edge company thriving in it's respective market.","Frustrating promotion structure and process, decreasing empathy for stresses and anxieties both inside and outside of work.",Be the first to find this review helpful
366,Some very good people horrible sales plan,,3.0,Great people to work with,Sales plan based unsustainable targets plus penalize you when customer doesn’t renew,Be the first to find this review helpful
367,A company to grow with,,5.0,"You have the ability to grow as the company grows and adapts - continually adjusting and creating new opportunities. The saying ""doing well by doing good"" is true at every level of the company that continuously balances doing our best for our customers, our staff, and the world around us.",Need to be able to be flexible and adaptable and a continuous learner in a high pace environment (con is the speed of change and demands to keep up with it but also it creates the opportunities for personal growth).,Be the first to find this review helpful
368,Great company!,,5.0,"Great leadership, great culture and great people.",Be more selective when choosing managers! People leave managers!,Be the first to find this review helpful
369,"Great work environment, but slower career progression",,5.0,"Great benefits, strong company culture","Unclear promotion path, constant change",Be the first to find this review helpful
370,"Good company, hard to move up in a large organization",,4.0,"Care for employees, great leave policies, good stable job",Hard to navigate the politics Hard to move up,Be the first to find this review helpful
371,Nothing,,3.0,Good place to relax Fun place to work,Too big to advance. Hard to grow your career,1 person found this review helpful
372,Great benefits,,5.0,"Benefits are great! Health benefits and lots of other ""perks""",$100/mo wellness actually comes out to be about 60/mo after tax,Be the first to find this review helpful
373,Great compnay,,5.0,"Very strong culture that attracts and retains high performers, best in class products, career progression based on merit and success, exceptional upper management who are forward thinkers and provide sufficient transparency into decisions and what the company is running towards.","Company is getting bigger quickly, not making short term tradeoffs and continuously bringing in great people to maintain high standards will potentially present challenges.",Be the first to find this review helpful
374,Salesforce,,5.0,Fantastic team of people who are very supportive.,Don't have anything bad to say...,Be the first to find this review helpful
375,Manager,,1.0,Compensation is ok comprares to others,Leadership team has opportunity for growth,Be the first to find this review helpful
376,Good Employer,,4.0,Good Work Life Balance Caring Leadership Opportunitis for growth,"Comming from acquisition, roadmap is unclear",1 person found this review helpful
377,"All positives, just wish we had more budget to retain top talent instead of funding a revolving door for new hires",,4.0,"Great benefits, work life balance, interesting work, strong company leadership, proud to work here!","People managers have very limited budget to retain top talent, and equity is far from competitive. Even at annual review period in Feb 2022, very few “raises” even matched inflation for a proper COLA, let alone performance based award incentives. This makes it very difficult to keep the best people around long after their first couple RSU vests, as competing offers elsewhere are much more lucrative.",3 people found this review helpful
378,Bad Management,,3.0,Corporate Benefits and PTO use,"Low Salary, Terrible Management, Lots of folks overworked or sent on projects while underqualified",2 people found this review helpful
379,About what you would expect,,4.0,Great culture and work life balance,Promotions aren't super transparent - takes longer to move up internally vs if you come externally,Be the first to find this review helpful
380,Salesforce has changed and not for the better.,,1.0,There are none. This company has gotten progressively bad in the 8 years I've been here.,"They think they have a good culture when really it's just a cult. Most people being brought in act like everyone should get a trophy and most frontline manager are feckless, political, little people with a true talent of thinking themselves as mini benioffs. It's really quite disgusting.",6 people found this review helpful
381,Avoid CSG / Professional Services,,2.0,"Benefits, pay, overall corporate philanthropy, some decent products, etc.","CSG / Professional Services - miserable, incompetent, toxic.",2 people found this review helpful
382,Good company,,5.0,"Remote working, Remote working, Remote working, Remote working,",Coworkers in different time zone,Be the first to find this review helpful
383,"Low Pay, Low morale, High attrition",,1.0,Wellness days every month and the benefits are pretty good. Most of the people are nice to work with.,"The pay is a joke here. It doesn’t matter how good you are. There is nepotism going on and you can’t get promoted unless you leave the company and come back. I liked it when I started but the pay is too low, it’s not worth it anymore. Management doesn’t care. You can have solid data showing you are more than capable of people in higher levels than you, and they always come back with answers that are all fluff.",4 people found this review helpful
384,I'd recomend Salesforce.,,5.0,Work life balance is great,Too flexible at times makes it hardwe to fet ghinfs done around everyone's various stuff,Be the first to find this review helpful
385,"Great company, heavy workload",,4.0,"Great company Ohana culture, leader is visionary and great, lots of company perks","Work is super demanding, and bureaucracy started to building out as the company continued to get bigger. Decision making process can be very slow depending on certain department, which could lead to a lot of rework.",Be the first to find this review helpful
386,Good starting job,,4.0,"Network, benefits, time off, overall work life balance","Salary and pay progression, managers, promotions,",Be the first to find this review helpful
387,Horrible work-life balance,"May 19, 2022 - Solutions Engineer",3.0,Pay is good and the company has a good reputation in the market. The technology is best in class which makes our solutions much easier to sell. Benefits are also great.,"The work life balance has gotten absolutely horrible. The company acts like wellness is important, but the expectation has become to work endless hours and always be available to respond to notifications. The co-CEO structure is very odd and they have a strange dynamic. Also have heard rumors of a hiring freeze.",1 person found this review helpful
388,Great WLB,"Jun 6, 2022 - Software Engineer",5.0,"Great WLB, great pay, amazing company culture",Build process can be slow,Be the first to find this review helpful
390,Interview and Hiring Experience has been great as fully remote team member so far,"Feb 24, 2022 - Proactive Monitoring Engineer",5.0,"Great recruitment team! Stephanie Martin reached out to me regarding a position at Salesforce. I believe she is the reason I felt comfortable and prepared for my interview by explaining in depth what the role looks like, as well as the interview process. Onboarding process allows you to engage with your internal department onboarding, as well as all aspects of Salesforce and teams from all over the world!","Most individuals are being onboarded remotely, which is not a smooth transition at any company since these are new processes due to the pandemic. While Salesforce is probably ahead of the curve, you will be inundated with LOTS of self-navigation resources during your onboarding experience. It can be a lot to organize and digest.",Be the first to find this review helpful
391,Great culture and environment,"Jun 3, 2022 - Sales Development Representative (SDR) in Chicago, IL",5.0,Always feel supported by my manager and teammates.,Could not think of any cons,Be the first to find this review helpful
392,First Class Interview Process,"Mar 2, 2022 - Enterprise Account Executive in Austin, TX",5.0,"The recruiting and interview process with Salesforce was incredibly well organized and everyone was respectful and personable. This company ""walks the walk"" with regard to their core values. They embrace your individuality, and encourage you to pursue your passion within the company and your community.","Not for people who can't create content and communicate product value to an audience. Part of the interview process requires you to put together a presentation for a panel of interviewers. You give a 15-minute elevator pitch. with only an outline provided. You have to go create your presentation based on research, and the marketing materials that are available online. I felt like this gave me an opportunity to showcase my individuality and unique style, but others might feel overwhelmed.",Be the first to find this review helpful
393,"This company really does ""do well and do good""","Apr 9, 2022 - Senior Director",5.0,Focused on shareholders and all stakeholders. Great culture. Excellent pay and benefits. Research the company and you'll find multiple sources saying how strong the company is. The future is also bright with strong growth prospects.,Not really a con but a watch item is maintaining the great culture while the company continues to grow rapidly.,Be the first to find this review helpful
394,When a company is more than a company...,"May 25, 2022 - Enterprise Account Executive",5.0,High moral character Company practices what it preaches Incredible benefits Superb co-workers Culture is amazing,So many tools available that onboarding is like drinking from a firehose.,Be the first to find this review helpful
395,Wonderful people led by a visionary but megalomaniac CEO,"Dec 21, 2021 - Executive",3.0,"Amazing, smart people surround you every day. Truly the best of the best. No better place to learn how to run a software business. Incredibly visionary leader. A playground for you to experiment and innovate every day. Working for a truly global brand, at a company where money is no object, allows you to have once-in-a-lifetime experiences all the time.","Marc is the only decision-maker at Salesforce. He will revert the decisions of tenured & seasoned executives, his ELT, or any C-team member in a second. This devastates the teams and people doing the work. Competency is not a criteria for C-level jobs. Marc's favoritism is. One needs only to look at the exodus of Marketing talent (at all levels) in 2021 to see the impact of his most recent CMO selection. With an army of talented leaders, but very limited opportunity for them to actually make decisions, the battle for ownership of the remaining work is more important than doing the work itself.",8 people found this review helpful
397,love it,"May 23, 2022 - Account Executive in Chicago, IL",5.0,"love it, great culture and benefits",pay is not as competitive,Be the first to find this review helpful
398,Growth Machine,"Jun 3, 2022 - Regional Vice President (RVP) in San Francisco, CA",2.0,"If you're in tech sales, Salesforce is undoubtedly a good chapter in your career that will help you stand out to other companies (after putting in your time). First line sales leadership is all about your territory, your team, and what you put into the role. If stars align on your territory and team, you might have a shot at a decent year.","Quotas were practically doubled this year (FY23), while territories were ""streamlined."" No amount of C360 kool aid can hide the fact your commissions will be lower this year. Compared to the previous fiscal, you need to work twice as hard, with less business, in order to earn your commissions (not to mention the typical internal battles to keep accounts that have international offices and/or were acquired). If you're a realist, you see very slim chance of hitting your number, unless you are lucky enough to have a handful of hyper growth accounts (in a downturn economy). I guess that's what the company needs to do in order to hit $50B. I expect quite a bit of sales churn in the coming months.",3 people found this review helpful
399,Moving Goalposts,"Jun 6, 2022 - Sales Development Representative",3.0,Decent Culture Good with PTO Mental Wellness days,Continuously changing promotion goals Bad pay compared to industry,Be the first to find this review helpful
400,Great,"May 22, 2022 - Lead Solutions Engineer",5.0,Growth and focused on developing employees,Sometimes too big but big has pros,Be the first to find this review helpful
401,Great Company Culture,"Jun 5, 2022 - Business Development",4.0,Pros is that Salesforce is an inclusive company. The culture is really great. If you are looking for opportunities to advance they will help you.,Only con is that you have to be serious about the hunt. You are calling executives which in my opinion are harder to sell to than consumers. There are also a lot of certifications you have to take which can be annoying when you want to just pick up the phone and dial.,Be the first to find this review helpful
402,Great company but be prepared to work your butt off,"Jun 2, 2022 - Account Executive in Raleigh, NC",4.0,Good benefits Mostly good WLB (manager dependent) Growth potential,"Not great pay A little “cultish” Leadership, team and accounts change frequently",1 person found this review helpful
403,"Love the company, its culture and people","May 21, 2022 - Technical Consultant in Jersey City, NJ",5.0,"Great work culture, lovely people",Low compensation for my role and low growth opportunities,Be the first to find this review helpful
404,Sales,"May 17, 2022 - Account Executive in San Francisco, CA",5.0,"Culture, leadership, community, career growth","Pay, personal growth, skill growth",1 person found this review helpful
405,Great Company,"May 20, 2022 - Senior Technical Consultant",5.0,"Great Benefits, Great Culture, Good work/life balance. This is a great place to work.",Salary is ok but not great.,Be the first to find this review helpful
406,Experience Working At Salesforce for 4 years,"Jun 3, 2022 - Anonymous Employee",4.0,"Work-Life Balance, Stability is pretty decent.",Tech Stack is pretty outdated.,Be the first to find this review helpful
407,Great culture,"Jun 2, 2022 - Member of Technical Staff(MTS)",5.0,"Amazing culture, Good benefits and Decent pay",Some teams can be over working,Be the first to find this review helpful
408,good place,"Jul 7, 2022 - Costumer Success Manager in New York, NY",4.0,Great benefits and support for staff,large company with little upward mobility,Be the first to find this review helpful
409,Leadership,"Jul 3, 2022 - Anonymous Employee",3.0,Great benefits and smart colleagues.,Culture is getting aggressive with the company starting to feel a bit like Amazon.,1 person found this review helpful
410,SMB AE,"Jun 28, 2022 - SMB AE in San Francisco, CA",3.0,"Benefits, resume booster and great people to work with",success is defined by the territory you get and how much internal politics you play,2 people found this review helpful
411,Love my experience so far,"Apr 28, 2022 - Account Executive",5.0,Salesforce does a great job with onboarding by making sure to bring people together for their bootcamp. This makes being part of such a large organization less intimidating. All of the management team is super nice and super accommodating and seem to have a great perspective.,Nothing to report so far!,1 person found this review helpful
412,Very Happy,"Jun 3, 2022 - Account Executive",5.0,Love working here at Salesforce,No cons working at Salesforce,Be the first to find this review helpful
413,I'd recomend Salesforce.,"May 26, 2022 - Sr. Solutions Engineer in Austin, TX",5.0,Work life balance is great,Too flexible at times makes it hardwe to fet ghinfs done around everyone's various stuff,Be the first to find this review helpful
414,Great people but you'll make hardly enough money to survive in entry level roles,"May 18, 2022 - Sales Development Representative in Denver, CO",4.0,Great people/ family-like environment Great training Fun culture Good benefits Company name recognition,Leadership disregards/ dismisses concerns raised by reps in role Overall not a lot of transparency from leadership Didn't adjust salary according to inflation or give any kind of YOY increase Close to no chance for early promotion Commission is basically nonexistent even when you hit your numbers Long work hours (7:30am-5:30pm) Increasing turn over rate due to poor pay,1 person found this review helpful
415,Great place to have a career,"May 17, 2022 - Account Executive in New York, NY",5.0,Industry leader. Inclusive work environment. Forward thinking company. Great incentives. They really foster career growth.,Pressure to perform. Potential to get a weak territory due to the market saturation.,Be the first to find this review helpful
416,Honeymoon & Happy,,5.0,I've been here for less than a year and there is ALOT of information to take in during the first 6-8months but all the early learning creates a foundation to build your career on. There are so many ERG available so it makes it easy to find a tribe or tribes to connect with. The resource groups create an environment of belonging and offers many models to follow to create a work/life balance. This is extremely valuable for someone newer in their position.,"There are so many things to do! It can be a bit overwhelming if your time management skills are efficient. Your career and development is totally in your control and there is more than enough opportunity to stretch yourself thin if you have difficulty committing and not committing to events. Drinking from the fire hose is the analogy most often used, for good reason.",Be the first to find this review helpful
417,"Awesome company - the people, the products, and the benefits are top notch",,5.0,"The people are welcoming, intelligent, and collaborative. The products are high quality. The culture is amazing. The benefits are superb--the company lives into its values and respects employee wellbeing.",Change is constant and you need to work through ambiguity well.,Be the first to find this review helpful
418,Great Spot,,5.0,Flexibility and balance in the current market,None from me at the moment,Be the first to find this review helpful
419,"Good pay, little flexibility",,2.0,"Great pay, and incredible benefits",For people who like to manage their own business Salesforce is not the place. They micromanage to an incredible level and have a very used car sales feel at times.,1 person found this review helpful
420,Lead Security Engineer,,4.0,Unlimited PTO Great insurance Good management,Hard to get approval for conference speaking engagement The pace of work can be fast at times The type of work can be checkbox security at times,Be the first to find this review helpful
421,Job is very good,,4.0,"good pay, good bonuses and good growth","long hours, too much competittion",Be the first to find this review helpful
422,If older than 40 forget it !!! Discrimination,,5.0,"Benefits, Swag, Events, Pay, Camaraderie",If you are right out of college you are in but if you are older forget it they dont want you!,10 people found this review helpful
423,"Equality is great, pay is not.",,3.0,Equality is a true value and they live it.,Pay is not what it should be. Promotions/raises are too structured.,Be the first to find this review helpful
424,Going downhill,,3.0,Great company with integrity Free snack and nice office,Doesn’t care about employees Promotion process is 6+ months of networking Quota doubled and territory shrunk this past year,Be the first to find this review helpful
425,Great place to have a career,,5.0,Industry leader. Inclusive work environment. Forward thinking company. Great incentives. They really foster career growth.,Pressure to perform. Potential to get a weak territory due to the market saturation.,Be the first to find this review helpful
426,Great company and team!,,5.0,"Interesting work, Highly collaborative environment, Great culture",Lots of solutions/offerings can make it difficult to keep up,Be the first to find this review helpful
427,Great Place to Work!,,5.0,Work Life Balance Clear Grow Path Unlimited PTO,Nothing to say. Everything is great.,Be the first to find this review helpful
428,Great time and manager,,4.0,great team and manager. started post undergrad,Toxic leadership and culture. Overworked,Be the first to find this review helpful
429,IT Support Technician Review,,3.0,"amazing support, great compensation, flexible hours, remote, amazing dining options","overload of work, poor benefits",Be the first to find this review helpful
430,Nice place to work,,5.0,Engaging work Good benefits Fair work life balance Decent total compensation,Change is slower than expected in a tech company,Be the first to find this review helpful
431,Amazing Culture,,5.0,The culture is everything it is talked up to be! The most engaging company I have worked for where I feel supported to reach my goals. Onboarding is very structured and closely followed to ensure mastery and success.,It's a large company so there is a lot of information to manage.,Be the first to find this review helpful
432,Amazing Company,,5.0,Great benefits and work-life balance Super inclusive culture Challenging work Flexible and empowering Amazing hiring experience,"With positions being remote, if you are hired as a remote employee its hard to connect with coworkers, but SF does a great job closing that gap.",Be the first to find this review helpful
433,Superb Company Culture,,5.0,Great place to work. Well-developed product and project methodology. Super supportive culture. Excellent pay and benefits.,"There's a corporate koolaide flavor to the rah rah, but that's to be expected. More and more clients are giant enterprise behemoths, so working with them is a often a grind.",Be the first to find this review helpful
434,cool,,5.0,it is a very diverse company,I have nothing bad to say about it,Be the first to find this review helpful
435,Time to slim down,,4.0,"The brand is tops, lots of product innovation",Takes 50 people to do anything,4 people found this review helpful
437,Great company to work for,"May 14, 2022 - Anonymous Employee",5.0,Culture and the people; Giving back to the community is a strong part of the company,Processes sometimes take a long time,Be the first to find this review helpful
438,Great Company,"May 13, 2022 - Business Development Associate (BDA)",5.0,They Look after staff extremely well,There is none so far!,Be the first to find this review helpful
